,0
0,1.3493877551020408
1,2.5613378684807255
2,3.835759637188209
3,5.097687074829932
4,6.397097505668934
5,7.671519274376418
6,8.858480725623583
7,10.007959183673469
8,11.34485260770975
9,12.581791383219954
